name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
MIBKAOH3CO,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,9,0
MXYBIPERO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,12,0
HO3C6O,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,8,0
M33C4O2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,8,0
MPRBNO3O2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0,10,0
C84O2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,8,0,12,0
NC41OOA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,11,0
PECO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,6,0
DMKOHO,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,6,0,10,0
EOX2ETCHO,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,6,0
C617CO2H,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,11,0
CHCL2OOH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0
NDNCRESO2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,7,0,22,0
PXYLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,9,0
